Year,firstName,lastName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22-23,Duane,Washington,SG,22,PHO,31,3,394,94,256,0.367,40,111,0.36,54,145,0.372,0.445,16,24,0.667,2,34,36,63,6,4,34,23,244
22-23,P.J.,Washington,PF,24,CHO,73,73,2380,434,978,0.444,149,428,0.348,285,550,0.518,0.52,127,174,0.73,73,285,358,175,66,79,110,193,1144
22-23,TyTy,Washington,PG,21,HOU,31,2,433,58,160,0.363,19,80,0.238,39,80,0.488,0.422,10,18,0.556,2,43,45,47,15,2,14,29,145
22-23,Yuta,Watanabe,SF,28,BRK,58,1,928,114,232,0.491,60,135,0.444,54,97,0.557,0.621,34,47,0.723,30,111,141,48,25,17,22,80,322
22-23,Lindy,Waters,SG,25,OKC,41,0,531,70,178,0.393,58,162,0.358,12,16,0.75,0.556,16,20,0.8,16,59,75,28,14,11,10,42,214
22-23,Trendon,Watford,PF,22,POR,62,12,1182,181,323,0.56,25,64,0.391,156,259,0.602,0.599,72,100,0.72,42,196,238,130,32,12,71,118,459
22-23,Peyton,Watson,SG,20,DEN,23,2,186,29,59,0.492,6,14,0.429,23,45,0.511,0.542,11,20,0.55,8,29,37,11,2,11,8,14,75
22-23,Blake,Wesley,SG,19,SAS,37,1,669,69,215,0.321,20,52,0.385,49,163,0.301,0.367,26,44,0.591,11,70,81,99,25,5,65,67,184
22-23,Russell,Westbrook,PG,34,TOT,73,24,2126,432,991,0.436,89,286,0.311,343,705,0.487,0.481,206,314,0.656,89,334,423,551,76,33,255,162,1159
22-23,Russell,Westbrook,PG,34,LAL,52,3,1491,304,729,0.417,63,213,0.296,241,516,0.467,0.46,156,238,0.655,59,262,321,391,53,23,184,121,827
22-23,Russell,Westbrook,PG,34,LAC,21,21,635,128,262,0.489,26,73,0.356,102,189,0.54,0.538,50,76,0.658,30,72,102,160,23,10,71,41,332
22-23,Coby,White,SG,22,CHI,74,2,1730,263,594,0.443,128,344,0.372,135,250,0.54,0.551,61,70,0.871,16,196,212,204,54,6,74,122,715
22-23,Derrick,White,SG,28,BOS,82,70,2319,350,758,0.462,149,391,0.381,201,367,0.548,0.56,168,192,0.875,52,241,293,321,54,76,95,177,1017
22-23,Jack,White,SF,25,DEN,17,0,66,8,19,0.421,3,9,0.333,5,10,0.5,0.5,2,3,0.667,6,11,17,4,3,2,2,9,21
22-23,Joe,Wieskamp,SF,23,TOR,9,0,50,3,14,0.214,3,12,0.25,0,2,0,0.321,0,0,,0,4,4,3,0,0,1,3,9
22-23,Aaron,Wiggins,SG,24,OKC,70,14,1297,186,363,0.512,48,122,0.393,138,241,0.573,0.579,59,71,0.831,68,142,210,80,39,15,55,110,479
22-23,Andrew,Wiggins,SF,27,GSW,37,37,1190,250,529,0.473,89,225,0.396,161,304,0.53,0.557,44,72,0.611,61,125,186,85,45,28,48,107,633
22-23,Lindell,Wigginton,PG,24,MIL,7,1,87,18,37,0.486,6,18,0.333,12,19,0.632,0.568,8,9,0.889,0,7,7,14,0,2,12,7,50
22-23,Alondes,Williams,SG,23,BRK,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,2,1,0
22-23,Donovan,Williams,SG,21,ATL,2,0,4,2,5,0.4,0,2,0,2,3,0.667,0.4,0,0,,0,2,2,0,0,0,0,0,4
22-23,Grant,Williams,PF,24,BOS,79,23,2045,216,476,0.454,115,291,0.395,101,185,0.546,0.575,94,122,0.77,87,276,363,131,41,31,82,192,641
22-23,Jalen,Williams,SG,21,OKC,75,62,2276,414,794,0.521,73,205,0.356,341,589,0.579,0.567,155,191,0.812,84,253,337,248,103,35,123,191,1056
22-23,Jaylin,Williams,C,20,OKC,49,36,914,102,234,0.436,46,113,0.407,56,121,0.463,0.534,38,54,0.704,44,197,241,76,28,12,37,111,288
22-23,Jeenathan,Williams,SG,23,POR,5,4,127,24,39,0.615,3,8,0.375,21,31,0.677,0.654,2,3,0.667,10,5,15,10,3,2,4,13,53
22-23,Kenrich,Williams,PF,28,OKC,53,10,1206,179,346,0.517,50,134,0.373,129,212,0.608,0.59,17,39,0.436,97,164,261,105,45,14,32,112,425
22-23,Mark,Williams,C,21,CHO,43,17,828,160,251,0.637,0,0,,160,251,0.637,0.637,67,97,0.691,93,211,304,18,28,45,40,94,387
22-23,Patrick,Williams,PF,21,CHI,82,65,2323,314,677,0.464,115,277,0.415,199,400,0.498,0.549,90,105,0.857,78,249,327,100,72,70,101,147,833
22-23,Robert,Williams,C,25,BOS,35,20,824,127,170,0.747,0,1,0,127,169,0.751,0.747,25,41,0.61,104,188,292,50,22,48,34,68,279
22-23,Vince,Williams,SG,22,MEM,15,1,105,12,40,0.3,4,28,0.143,8,12,0.667,0.35,2,2,1,4,11,15,4,6,2,5,12,30
22-23,Ziaire,Williams,SF,21,MEM,37,4,561,84,196,0.429,25,97,0.258,59,99,0.596,0.492,17,22,0.773,16,63,79,35,14,6,37,58,210
22-23,Zion,Williamson,PF,22,NOP,29,29,956,285,469,0.608,7,19,0.368,278,450,0.618,0.615,177,248,0.714,58,144,202,133,32,16,99,65,754
22-23,Dylan,Windler,SF,26,CLE,3,0,10,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,0,0,1,1,0,1,0,5
22-23,Justise,Winslow,PF,26,POR,29,11,776,81,198,0.409,14,45,0.311,67,153,0.438,0.444,20,28,0.714,49,96,145,98,30,11,43,89,196
22-23,James,Wiseman,C,21,TOT,45,22,867,189,339,0.558,4,20,0.2,185,319,0.58,0.563,68,97,0.701,73,194,267,30,7,27,51,108,450
22-23,James,Wiseman,C,21,GSW,21,0,262,59,94,0.628,1,2,0.5,58,92,0.63,0.633,26,38,0.684,18,55,73,14,3,7,14,39,145
22-23,James,Wiseman,C,21,DET,24,22,605,130,245,0.531,3,18,0.167,127,227,0.559,0.537,42,59,0.712,55,139,194,16,4,20,37,69,305
22-23,Christian,Wood,C,27,DAL,67,17,1738,396,769,0.515,105,279,0.376,291,490,0.594,0.583,217,281,0.772,87,404,491,121,30,72,121,169,1114
22-23,Delon,Wright,PG,30,WAS,50,14,1221,138,291,0.474,41,119,0.345,97,172,0.564,0.545,52,60,0.867,58,122,180,194,92,17,44,59,369
22-23,McKinley,Wright,PG,24,DAL,27,1,335,46,98,0.469,9,28,0.321,37,70,0.529,0.515,13,19,0.684,9,38,47,58,8,5,19,24,114
22-23,Gabe,York,SG,29,IND,3,0,56,8,21,0.381,6,18,0.333,2,3,0.667,0.524,2,2,1,0,6,6,5,2,0,0,5,24
22-23,Thaddeus,Young,PF,34,TOR,54,9,795,108,198,0.545,6,34,0.176,102,164,0.622,0.561,18,26,0.692,71,95,166,75,54,5,42,88,240
22-23,Trae,Young,PG,24,ATL,73,73,2541,597,1390,0.429,154,460,0.335,443,930,0.476,0.485,566,639,0.886,56,161,217,741,80,9,300,104,1914
22-23,Omer,Yurtseven,C,24,MIA,9,0,83,16,27,0.593,3,7,0.429,13,20,0.65,0.648,5,6,0.833,8,15,23,2,2,2,4,16,40
22-23,Cody,Zeller,C,30,MIA,15,2,217,37,59,0.627,0,2,0,37,57,0.649,0.627,24,35,0.686,25,39,64,10,3,4,14,33,98
22-23,Ivica,Zubac,C,25,LAC,76,76,2170,326,514,0.634,0,2,0,326,512,0.637,0.634,166,238,0.697,236,520,756,77,29,98,117,219,818
23-24,Precious,Achiuwa,C,24,TOR,19,0,344,61,132,0.462,12,39,0.308,49,93,0.527,0.508,19,31,0.613,37,76,113,40,11,8,26,34,153
23-24,Bam,Adebayo,C,26,MIA,16,16,537,132,253,0.522,1,3,0.333,131,250,0.524,0.524,91,112,0.813,33,126,159,62,19,16,39,39,356
23-24,Ochai,Agbaji,SG,23,UTA,26,10,551,65,149,0.436,33,86,0.384,32,63,0.508,0.547,6,8,0.75,24,43,67,28,18,13,18,40,169
23-24,Santi,Aldama,PF,23,MEM,18,5,466,86,194,0.443,30,91,0.33,56,103,0.544,0.521,19,31,0.613,28,78,106,38,13,14,21,34,221
23-24,Nickeil,Alexander-Walker,SG,25,MIN,24,11,571,63,153,0.412,36,99,0.364,27,54,0.5,0.529,9,15,0.6,11,38,49,60,20,17,28,46,171
23-24,Grayson,Allen,SG,28,PHO,21,21,698,85,175,0.486,47,102,0.461,38,73,0.521,0.62,41,45,0.911,17,75,92,59,17,11,31,50,258
23-24,Jarrett,Allen,C,25,CLE,21,21,611,114,167,0.683,0,0,,114,167,0.683,0.683,44,63,0.698,61,116,177,48,16,20,40,59,272
23-24,Jose,Alvarado,PG,25,NOP,13,0,227,33,79,0.418,19,44,0.432,14,35,0.4,0.538,12,20,0.6,6,28,34,29,16,5,14,19,97
23-24,Kyle,Anderson,PF,30,MIN,24,0,563,65,140,0.464,2,19,0.105,63,121,0.521,0.471,36,52,0.692,18,71,89,98,20,20,36,37,168
23-24,Giannis,Antetokounmpo,PF,29,MIL,25,25,869,293,474,0.618,10,43,0.233,283,431,0.657,0.629,189,284,0.665,68,206,274,124,36,29,96,72,785
23-24,Thanasis,Antetokounmpo,PF,31,MIL,11,0,54,4,9,0.444,0,0,,4,9,0.444,0.444,0,0,,3,3,6,4,2,1,5,7,8
23-24,Cole,Anthony,PG,23,ORL,25,0,627,122,270,0.452,34,91,0.374,88,179,0.492,0.515,92,109,0.844,26,79,105,91,17,12,46,73,370
23-24,OG,Anunoby,SF,26,TOR,21,21,691,123,256,0.48,53,136,0.39,70,120,0.583,0.584,26,38,0.684,21,68,89,53,22,13,36,50,325
23-24,Ryan,Arcidiacono,PG,29,NYK,8,0,17,0,2,0,0,2,0,0,0,,0,0,0,,0,4,4,2,1,0,0,0,0
23-24,Deni,Avdija,SF,23,WAS,25,25,675,113,225,0.502,23,67,0.343,90,158,0.57,0.553,42,50,0.84,28,110,138,98,19,8,37,54,291
23-24,Deandre,Ayton,C,25,POR,21,21,656,121,210,0.576,0,0,,121,210,0.576,0.576,20,25,0.8,67,154,221,31,25,15,41,51,262
23-24,Udoka,Azubuike,C,24,PHO,2,0,9,1,1,1,0,0,,1,1,1,1,0,0,,0,4,4,0,0,0,0,1,2
23-24,Marvin,Bagley,C,24,DET,21,8,388,83,145,0.572,1,5,0.2,82,140,0.586,0.576,41,49,0.837,40,63,103,24,3,14,26,33,208
23-24,Amari,Bailey,PG,19,CHO,2,0,11,2,6,0.333,0,2,0,2,4,0.5,0.333,1,2,0.5,2,0,2,0,0,0,1,0,5
23-24,Patrick,Baldwin,SF,21,WAS,7,0,39,5,13,0.385,3,5,0.6,2,8,0.25,0.5,4,4,1,2,8,10,3,0,1,1,4,17
23-24,LaMelo,Ball,PG,22,CHO,15,15,501,132,298,0.443,52,134,0.388,80,164,0.488,0.53,54,63,0.857,23,59,82,123,21,4,59,52,370
23-24,Mo,Bamba,C,25,PHI,14,0,89,20,37,0.541,5,10,0.5,15,27,0.556,0.608,8,11,0.727,17,18,35,4,1,10,7,13,53
23-24,Paolo,Banchero,PF,21,ORL,25,25,840,194,404,0.48,33,86,0.384,161,318,0.506,0.521,105,155,0.677,35,136,171,110,26,14,82,53,526
23-24,Desmond,Bane,SG,25,MEM,23,23,796,211,451,0.468,77,203,0.379,134,248,0.54,0.553,74,86,0.86,26,82,108,119,30,16,68,74,573
23-24,Dalano,Banton,PG,24,BOS,12,1,94,14,29,0.483,1,8,0.125,13,21,0.619,0.5,5,6,0.833,10,15,25,5,2,2,5,12,34
23-24,Dominick,Barlow,PF,20,SAS,7,0,35,3,7,0.429,0,0,,3,7,0.429,0.429,2,4,0.5,0,5,5,0,1,0,0,2,8
23-24,Harrison,Barnes,PF,31,SAC,24,24,731,93,198,0.47,42,109,0.385,51,89,0.573,0.576,43,52,0.827,23,57,80,36,17,4,19,26,271
23-24,Scottie,Barnes,SG,22,TOR,25,25,872,190,390,0.487,51,132,0.386,139,258,0.539,0.553,74,101,0.733,66,156,222,143,41,31,61,51,505
23-24,RJ,Barrett,SG,23,NYK,20,20,586,131,305,0.43,37,105,0.352,94,200,0.47,0.49,82,97,0.845,14,64,78,49,9,6,33,28,381
23-24,Charles,Bassey,C,23,SAS,19,0,205,29,40,0.725,0,1,0,29,39,0.744,0.725,5,6,0.833,23,53,76,21,8,17,15,31,63
23-24,Emoni,Bates,SF,20,CLE,7,0,52,4,15,0.267,3,12,0.25,1,3,0.333,0.367,1,2,0.5,1,8,9,2,1,1,1,2,12
23-24,Keita,Bates-Diop,SF,28,PHO,22,8,387,41,103,0.398,10,40,0.25,31,63,0.492,0.447,23,32,0.719,20,48,68,19,12,15,6,20,115
23-24,Nicolas,Batum,PF,35,TOT,19,13,451,39,70,0.557,25,52,0.481,14,18,0.778,0.736,7,11,0.636,17,52,69,40,12,13,7,35,110
23-24,Nicolas,Batum,PF,35,LAC,3,0,54,3,8,0.375,2,7,0.286,1,1,1,0.5,0,0,,0,7,7,5,3,4,1,5,8
23-24,Nicolas,Batum,PF,35,PHI,16,13,397,36,62,0.581,23,45,0.511,13,17,0.765,0.766,7,11,0.636,17,45,62,35,9,9,6,30,102
23-24,Bradley,Beal,SG,30,PHO,6,6,151,31,69,0.449,9,21,0.429,22,48,0.458,0.514,17,24,0.708,3,17,20,19,4,2,14,13,88
23-24,Malik,Beasley,SG,27,MIL,24,24,727,104,215,0.484,71,155,0.458,33,60,0.55,0.649,8,12,0.667,17,89,106,35,23,4,16,50,287
23-24,MarJon,Beauchamp,SF,23,MIL,22,1,368,44,91,0.484,17,39,0.436,27,52,0.519,0.577,11,18,0.611,14,42,56,18,7,4,17,36,116
23-24,Jules,Bernard,SG,24,WAS,2,0,10,1,5,0.2,0,3,0,1,2,0.5,0.2,0,0,,1,0,1,1,0,0,1,1,2
23-24,D?vis,Bert?ns,PF,31,OKC,9,0,71,7,19,0.368,7,18,0.389,0,1,0,0.553,14,15,0.933,1,7,8,7,2,2,1,10,35
23-24,Patrick,Beverley,PG,35,PHI,25,1,428,41,96,0.427,16,51,0.314,25,45,0.556,0.51,17,26,0.654,20,49,69,58,14,6,16,44,115
23-24,Saddiq,Bey,SF,24,ATL,25,13,781,115,247,0.466,44,124,0.355,71,123,0.577,0.555,41,51,0.804,54,102,156,33,27,4,29,39,315
23-24,Goga,Bitadze,C,24,ORL,23,20,494,69,116,0.595,1,5,0.2,68,111,0.613,0.599,34,48,0.708,52,93,145,41,16,38,19,56,173
23-24,Onuralp,Bitim,SG,24,CHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
23-24,Bismack,Biyombo,C,31,MEM,19,17,471,47,82,0.573,0,0,,47,82,0.573,0.573,19,37,0.514,43,86,129,37,6,22,25,55,113
23-24,Anthony,Black,PG,20,ORL,23,19,448,46,92,0.5,11,34,0.324,35,58,0.603,0.56,16,28,0.571,15,43,58,37,9,8,21,47,119
23-24,Leaky,Black,SF,24,CHO,5,0,25,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,0,3,3,3,2,3,1,1,7
23-24,Bogdan,Bogdanovi?,SG,31,ATL,24,2,671,151,325,0.465,82,200,0.41,69,125,0.552,0.591,35,38,0.921,10,71,81,61,35,7,29,63,419
23-24,Bojan,Bogdanovi?,PF,34,DET,7,6,212,49,100,0.49,20,50,0.4,29,50,0.58,0.59,26,34,0.765,3,13,16,18,9,0,13,9,144
23-24,Bol,Bol,PF,24,PHO,6,0,15,2,3,0.667,0,1,0,2,2,1,0.667,0,0,,0,3,3,0,0,1,2,1,4
23-24,Marques,Bolden,C,25,MIL,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,1,0
23-24,Devin,Booker,SG,27,PHO,17,17,605,158,330,0.479,35,89,0.393,123,241,0.51,0.532,126,138,0.913,16,82,98,141,12,8,54,59,477
23-24,Brandon,Boston,SF,22,LAC,1,0,5,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,2,2,2,0,0,0,1,3
23-24,Chris,Boucher,PF,31,TOR,23,0,326,49,111,0.441,15,45,0.333,34,66,0.515,0.509,35,45,0.778,27,57,84,8,8,14,11,38,148
23-24,James,Bouknight,SG,23,CHO,2,0,12,5,8,0.625,4,7,0.571,1,1,1,0.875,0,0,,1,1,2,0,0,0,0,1,14
23-24,Jamaree,Bouyea,PG,24,POR,6,0,57,5,21,0.238,0,8,0,5,13,0.385,0.238,0,0,,2,8,10,8,0,0,8,3,10
23-24,Malaki,Branham,SG,20,SAS,25,13,551,91,205,0.444,25,81,0.309,66,124,0.532,0.505,14,15,0.933,6,37,43,60,11,4,30,34,221
23-24,Christian,Braun,SG,22,DEN,27,0,550,93,193,0.482,19,49,0.388,74,144,0.514,0.531,35,46,0.761,22,82,104,49,11,9,21,46,240
23-24,Mikal,Bridges,SF,27,BRK,25,25,873,200,418,0.478,56,143,0.392,144,275,0.524,0.545,101,117,0.863,26,115,141,93,24,12,62,41,557
23-24,Miles,Bridges,SF,25,CHO,14,12,507,103,219,0.47,27,79,0.342,76,140,0.543,0.532,42,49,0.857,13,88,101,34,18,3,25,31,275
23-24,Oshae,Brissett,SF,25,BOS,11,0,108,7,21,0.333,2,10,0.2,5,11,0.455,0.381,9,14,0.643,9,15,24,4,4,0,4,13,25
23-24,Malcolm,Brogdon,PG,31,POR,18,10,487,101,242,0.417,36,94,0.383,65,148,0.439,0.492,43,56,0.768,15,48,63,99,14,3,28,24,281
23-24,Armoni,Brooks,PG,25,BRK,7,0,64,9,27,0.333,7,19,0.368,2,8,0.25,0.463,0,0,,4,8,12,3,0,1,1,1,25
23-24,Dillon,Brooks,SF,28,HOU,23,23,727,118,250,0.472,42,107,0.393,76,143,0.531,0.556,43,51,0.843,18,66,84,38,22,1,46,92,321
23-24,Bruce,Brown,SG,27,IND,24,24,751,109,235,0.464,27,85,0.318,82,150,0.547,0.521,47,59,0.797,16,95,111,67,29,6,29,57,292
23-24,Charlie,Brown,SG,26,NYK,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,2,0,0
23-24,Greg,Brown,PF,22,DAL,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
23-24,Jaylen,Brown,SF,27,BOS,24,24,814,210,440,0.477,55,161,0.342,155,279,0.556,0.54,60,83,0.723,16,97,113,84,28,17,58,69,535
23-24,Kobe,Brown,PF,24,LAC,16,0,157,15,38,0.395,8,25,0.32,7,13,0.538,0.5,1,2,0.5,6,22,28,7,2,3,2,29,39
23-24,Moses,Brown,C,24,POR,5,0,35,6,12,0.5,0,0,,6,12,0.5,0.5,0,2,0,8,10,18,1,1,1,1,2,12
23-24,Troy,Brown,SF,24,MIN,20,3,320,40,88,0.455,23,61,0.377,17,27,0.63,0.585,17,20,0.85,12,43,55,23,6,2,10,17,120
23-24,Jalen,Brunson,PG,27,NYK,25,25,889,224,472,0.475,77,168,0.458,147,304,0.484,0.556,112,141,0.794,18,79,97,147,29,1,55,56,637
23-24,Thomas,Bryant,C,26,MIA,17,3,205,35,65,0.538,0,3,0,35,62,0.565,0.538,15,18,0.833,19,45,64,10,6,5,13,22,85
23-24,Kobe,Bufkin,SG,20,ATL,2,0,4,0,3,0,0,1,0,0,2,0,0,1,2,0.5,1,1,2,0,0,0,0,0,1
23-24,Reggie,Bullock,SF,32,HOU,11,0,93,7,20,0.35,6,17,0.353,1,3,0.333,0.5,1,1,1,2,11,13,3,1,1,2,7,21
23-24,Alec,Burks,SG,32,DET,19,0,336,50,146,0.342,32,91,0.352,18,55,0.327,0.452,47,54,0.87,9,33,42,27,7,4,8,25,179
23-24,Jared,Butler,SG,23,WAS,12,0,98,16,34,0.471,5,16,0.313,11,18,0.611,0.544,10,12,0.833,0,8,8,22,7,1,10,14,47
23-24,Jimmy,Butler,PF,34,MIA,22,22,748,149,321,0.464,19,50,0.38,130,271,0.48,0.494,163,184,0.886,43,71,114,101,25,9,40,24,480
23-24,Jamal,Cain,PF,24,MIA,8,0,113,13,29,0.448,4,15,0.267,9,14,0.643,0.517,7,11,0.636,5,7,12,1,6,2,2,6,37
23-24,Kentavious,Caldwell-Pope,SG,30,DEN,25,25,822,91,202,0.45,36,89,0.404,55,113,0.487,0.54,46,51,0.902,10,38,48,63,36,11,30,51,264
23-24,Toumani,Camara,PF,23,POR,25,16,636,68,166,0.41,23,78,0.295,45,88,0.511,0.479,25,37,0.676,49,66,115,27,23,13,26,72,184
23-24,Clint,Capela,C,29,ATL,24,24,621,119,206,0.578,0,0,,119,206,0.578,0.578,37,58,0.638,117,136,253,26,15,41,20,63,275
23-24,Jevon,Carter,PG,28,CHI,27,0,379,52,139,0.374,30,88,0.341,22,51,0.431,0.482,0,1,0,4,15,19,35,14,7,17,33,134
23-24,Wendell,Carter,C,24,ORL,5,5,147,17,45,0.378,5,16,0.313,12,29,0.414,0.433,8,14,0.571,11,32,43,8,3,2,8,14,47
23-24,Alex,Caruso,SG,29,CHI,21,10,475,69,129,0.535,34,72,0.472,35,57,0.614,0.667,24,31,0.774,25,43,68,47,26,16,27,45,196
23-24,Colin,Castleton,C,23,LAL,4,0,28,5,8,0.625,0,0,,5,8,0.625,0.625,2,2,1,3,4,7,3,0,0,0,5,12
23-24,Malcolm,Cazalon,SG,22,DET,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
23-24,Julian,Champagnie,SF,22,SAS,18,5,242,32,85,0.376,25,64,0.391,7,21,0.333,0.524,8,11,0.727,6,22,28,15,7,12,13,16,97
23-24,Max,Christie,SG,20,LAL,21,6,361,36,93,0.387,13,43,0.302,23,50,0.46,0.457,10,14,0.714,3,51,54,22,8,4,15,30,95
23-24,Sidy,Cissoko,SF,19,SAS,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
23-24,Jordan,Clarkson,SG,31,UTA,19,19,586,115,288,0.399,31,105,0.295,84,183,0.459,0.453,55,66,0.833,24,40,64,94,16,3,57,27,316
23-24,Nic,Claxton,C,24,BRK,16,16,435,86,134,0.642,1,1,1,85,133,0.639,0.646,22,35,0.629,51,99,150,23,7,37,13,41,195
23-24,Noah,Clowney,PF,19,BRK,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
23-24,Amir,Coffey,SF,26,LAC,13,1,113,12,31,0.387,5,17,0.294,7,14,0.5,0.468,6,7,0.857,4,9,13,4,1,0,3,10,35
23-24,John,Collins,PF,26,UTA,22,22,683,121,251,0.482,31,81,0.383,90,170,0.529,0.544,45,60,0.75,59,130,189,20,14,21,31,62,318
23-24,Zach,Collins,C,26,SAS,25,20,672,118,248,0.476,26,91,0.286,92,157,0.586,0.528,55,68,0.809,50,99,149,86,15,14,61,83,317
23-24,Mike,Conley,PG,36,MIN,24,24,706,91,202,0.45,53,124,0.427,38,78,0.487,0.582,35,37,0.946,10,62,72,148,23,2,24,42,270
23-24,Pat,Connaughton,SF,31,MIL,20,0,446,42,96,0.438,22,63,0.349,20,33,0.606,0.552,9,13,0.692,14,55,69,42,10,4,15,20,115
23-24,Bilal,Coulibaly,SF,19,WAS,24,1,640,84,160,0.525,32,75,0.427,52,85,0.612,0.625,25,40,0.625,17,81,98,40,26,16,39,45,225
23-24,Robert,Covington,SF-PF,33,TOT,24,6,417,38,86,0.442,19,52,0.365,19,34,0.559,0.552,21,24,0.875,28,58,86,20,31,16,10,44,116
23-24,Robert,Covington,PF,33,LAC,3,3,69,3,9,0.333,2,8,0.25,1,1,1,0.444,1,2,0.5,2,6,8,7,6,2,0,7,9
23-24,Robert,Covington,SF,33,PHI,21,3,348,35,77,0.455,17,44,0.386,18,33,0.545,0.565,20,22,0.909,26,52,78,13,25,14,10,37,107
23-24,Torrey,Craig,SF,33,CHI,27,7,572,59,139,0.424,29,76,0.382,30,63,0.476,0.529,18,23,0.783,50,80,130,28,17,10,16,68,165
23-24,Jae,Crowder,PF,33,MIL,9,2,240,25,47,0.532,16,31,0.516,9,16,0.563,0.702,7,12,0.583,4,31,35,15,7,3,4,14,73
23-24,Cade,Cunningham,PG,22,DET,26,26,891,207,490,0.422,47,149,0.315,160,341,0.469,0.47,96,109,0.881,12,88,100,183,24,6,104,71,557
23-24,Seth,Curry,SG,33,DAL,20,3,244,33,83,0.398,19,47,0.404,14,36,0.389,0.512,9,10,0.9,10,21,31,19,11,3,6,17,94
23-24,Stephen,Curry,PG,35,GSW,24,24,809,208,451,0.461,115,280,0.411,93,171,0.544,0.589,142,152,0.934,14,101,115,105,18,8,80,41,673
23-24,Dyson,Daniels,PG,20,NOP,27,13,653,67,169,0.396,18,73,0.247,49,96,0.51,0.45,20,30,0.667,29,90,119,80,40,10,30,49,172
23-24,Anthony,Davis,C,30,LAL,24,24,846,215,395,0.544,6,18,0.333,209,377,0.554,0.552,138,169,0.817,86,214,300,72,27,62,48,64,574
23-24,Johnny,Davis,SG,21,WAS,14,0,128,19,40,0.475,1,3,0.333,18,37,0.486,0.488,4,5,0.8,8,11,19,5,7,1,5,10,43
23-24,Dexter,Dennis,SG,24,DAL,2,0,7,2,6,0.333,0,3,0,2,3,0.667,0.333,0,1,0,1,1,2,0,0,0,0,0,4
23-24,DeMar,DeRozan,SF,34,CHI,25,25,910,192,432,0.444,25,68,0.368,167,364,0.459,0.473,153,186,0.823,21,68,89,131,24,21,35,56,562
23-24,Moussa,Diabaté,C,22,LAC,9,0,55,9,18,0.5,0,0,,9,18,0.5,0.5,9,12,0.75,14,5,19,4,4,0,2,4,27
23-24,Gradey,Dick,SG,20,TOR,17,1,227,19,67,0.284,11,44,0.25,8,23,0.348,0.366,14,14,1,7,15,22,15,4,0,12,24,63
23-24,Ousmane,Dieng,PF,20,OKC,15,0,164,21,49,0.429,12,35,0.343,9,14,0.643,0.551,8,10,0.8,6,20,26,14,1,0,6,9,62
23-24,Spencer,Dinwiddie,PG,30,BRK,24,24,760,116,286,0.406,52,157,0.331,64,129,0.496,0.497,73,93,0.785,13,83,96,163,22,4,43,42,357
23-24,Donte,DiVincenzo,SG,27,NYK,25,7,514,78,178,0.438,57,129,0.442,21,49,0.429,0.598,21,29,0.724,18,54,72,44,24,7,23,42,234
23-24,Luka,Don?i?,PG,24,DAL,24,24,882,270,553,0.488,92,243,0.379,178,310,0.574,0.571,152,190,0.8,17,182,199,219,32,12,97,44,784
23-24,Luguentz,Dort,SF,24,OKC,23,23,650,79,179,0.441,38,95,0.4,41,84,0.488,0.547,50,61,0.82,31,63,94,28,21,18,22,70,246
23-24,Ayo,Dosunmu,SG,24,CHI,25,4,523,68,142,0.479,23,65,0.354,45,77,0.584,0.56,17,24,0.708,12,39,51,48,18,4,21,45,176
23-24,Andre,Drummond,C,30,CHI,27,0,354,64,128,0.5,0,1,0,64,127,0.504,0.5,36,60,0.6,78,104,182,15,26,9,27,45,164
23-24,Chris,Duarte,SF,26,SAC,21,5,276,29,77,0.377,14,45,0.311,15,32,0.469,0.468,14,18,0.778,4,33,37,18,12,2,12,48,86
23-24,Kris,Dunn,PG,29,UTA,18,2,248,36,78,0.462,8,22,0.364,28,56,0.5,0.513,6,10,0.6,9,32,41,49,10,2,22,27,86
23-24,Kevin,Durant,PF,35,PHO,22,22,806,232,451,0.514,49,104,0.471,183,347,0.527,0.569,160,184,0.87,9,128,137,123,16,26,73,42,673
23-24,Jalen,Duren,C,20,DET,14,13,404,80,127,0.63,0,2,0,80,125,0.64,0.63,16,28,0.571,47,106,153,35,8,19,38,48,176
23-24,Tari,Eason,PF,22,HOU,16,0,324,57,118,0.483,15,34,0.441,42,84,0.5,0.547,15,24,0.625,30,85,115,19,12,16,15,31,144
