Year,firstName,lastName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19-20,Caleb,Swanigan,PF-C,22,TOT,27,1,288,28,47,0.596,0,2,0,28,45,0.622,0.596,9,17,0.529,27,73,100,31,3,7,37,62,65
19-20,Caleb,Swanigan,C,22,SAC,7,0,23,2,4,0.5,0,0,,2,4,0.5,0.5,1,2,0.5,2,5,7,2,1,2,6,8,5
19-20,Caleb,Swanigan,PF,22,POR,20,1,265,26,43,0.605,0,2,0,26,41,0.634,0.605,8,15,0.533,25,68,93,29,2,5,31,54,60
19-20,Jayson,Tatum,PF,21,BOS,66,66,2265,552,1226,0.45,189,469,0.403,363,757,0.48,0.527,254,313,0.812,64,396,460,200,93,57,155,136,1547
19-20,Jeff,Teague,PG,31,TOT,59,17,1464,213,489,0.436,43,117,0.368,170,372,0.457,0.48,172,197,0.873,27,115,142,308,44,19,116,106,641
19-20,Jeff,Teague,PG,31,MIN,34,13,945,145,324,0.448,33,87,0.379,112,237,0.473,0.498,125,144,0.868,15,73,88,208,25,13,76,70,448
19-20,Jeff,Teague,PG,31,ATL,25,4,519,68,165,0.412,10,30,0.333,58,135,0.43,0.442,47,53,0.887,12,42,54,100,19,6,40,36,193
19-20,Garrett,Temple,SG,33,BRK,62,35,1730,222,587,0.378,127,386,0.329,95,201,0.473,0.486,70,87,0.805,29,189,218,156,49,29,62,108,641
19-20,Daniel,Theis,C,27,BOS,65,64,1566,241,426,0.566,32,96,0.333,209,330,0.633,0.603,87,114,0.763,140,286,426,111,37,84,54,219,601
19-20,Isaiah,Thomas,PG,30,WAS,40,37,925,174,426,0.408,78,189,0.413,96,237,0.405,0.5,62,76,0.816,11,57,68,146,13,6,77,77,488
19-20,Khyri,Thomas,SG,23,DET,8,0,61,5,17,0.294,5,14,0.357,0,3,0,0.441,2,4,0.5,1,0,1,3,3,0,3,9,17
19-20,Lance,Thomas,PF,31,BRK,7,4,98,8,23,0.348,4,13,0.308,4,10,0.4,0.435,4,4,1,2,11,13,6,0,0,6,11,24
19-20,Matt,Thomas,SG,25,TOR,41,1,440,73,150,0.487,47,99,0.475,26,51,0.51,0.643,9,12,0.75,9,52,61,22,10,1,16,38,202
19-20,Tristan,Thompson,PF,28,CLE,57,51,1721,288,562,0.512,9,23,0.391,279,539,0.518,0.52,99,161,0.615,226,351,577,120,33,50,103,124,684
19-20,Sindarius,Thornwell,SF,25,NOP,2,0,35,6,11,0.545,2,4,0.5,4,7,0.571,0.636,2,4,0.5,0,4,4,4,1,1,2,2,16
19-20,Matisse,Thybulle,SG,22,PHI,65,14,1287,112,265,0.423,56,157,0.357,56,108,0.519,0.528,25,41,0.61,44,63,107,79,94,47,51,141,305
19-20,Anthony,Tolliver,PF,34,TOT,55,13,872,65,182,0.357,49,145,0.338,16,37,0.432,0.492,21,29,0.724,34,120,154,42,19,11,34,74,200
19-20,Anthony,Tolliver,PF,34,POR,33,9,554,43,117,0.368,30,89,0.337,13,28,0.464,0.496,13,19,0.684,27,83,110,29,8,9,21,54,129
19-20,Anthony,Tolliver,PF,34,SAC,9,0,82,3,17,0.176,2,15,0.133,1,2,0.5,0.235,1,2,0.5,2,9,11,3,4,1,4,6,9
19-20,Anthony,Tolliver,PF,34,MEM,13,4,236,19,48,0.396,17,41,0.415,2,7,0.286,0.573,7,8,0.875,5,28,33,10,7,1,9,14,62
19-20,Juan,Toscano-Anderson,SG,26,GSW,13,6,272,29,63,0.46,8,23,0.348,21,40,0.525,0.524,3,5,0.6,9,43,52,26,13,5,16,30,69
19-20,Karl-Anthony,Towns,C,24,MIN,35,35,1187,316,622,0.508,114,277,0.412,202,345,0.586,0.6,180,226,0.796,95,283,378,153,33,42,110,117,926
19-20,Gary,Trent,SF,21,POR,61,8,1332,196,441,0.444,112,268,0.418,84,173,0.486,0.571,37,45,0.822,25,75,100,61,48,16,21,90,541
19-20,Allonzo,Trier,SG,24,NYK,24,1,291,51,106,0.481,19,53,0.358,32,53,0.604,0.571,34,43,0.791,6,23,29,28,3,4,22,29,155
19-20,P.J.,Tucker,PF,34,HOU,72,72,2467,177,426,0.415,107,299,0.358,70,127,0.551,0.541,39,48,0.813,112,364,476,115,77,36,72,229,500
19-20,Rayjon,Tucker,SG,22,UTA,20,0,161,20,43,0.465,3,17,0.176,17,26,0.654,0.5,19,23,0.826,3,17,20,5,1,1,8,10,62
19-20,Evan,Turner,SG,31,ATL,19,0,251,25,67,0.373,0,5,0,25,62,0.403,0.373,12,14,0.857,8,30,38,38,9,8,26,20,62
19-20,Myles,Turner,C,23,IND,62,62,1826,268,587,0.457,86,250,0.344,182,337,0.54,0.53,127,169,0.751,86,321,407,72,46,132,85,166,749
19-20,Jarrod,Uthoff,PF,26,TOT,7,0,53,7,18,0.389,3,9,0.333,4,9,0.444,0.472,2,2,1,2,4,6,0,1,0,0,2,19
19-20,Jarrod,Uthoff,PF,26,MEM,4,0,14,1,7,0.143,0,4,0,1,3,0.333,0.143,2,2,1,1,0,1,0,1,0,0,1,4
19-20,Jarrod,Uthoff,PF,26,WAS,3,0,39,6,11,0.545,3,5,0.6,3,6,0.5,0.682,0,0,,1,4,5,0,0,0,0,1,15
19-20,Jonas,Valan?i?nas,C,27,MEM,70,70,1845,432,739,0.585,32,91,0.352,400,648,0.617,0.606,148,200,0.74,213,575,788,131,30,76,127,185,1044
19-20,Denzel,Valentine,SF,26,CHI,36,5,488,97,237,0.409,46,137,0.336,51,100,0.51,0.506,6,8,0.75,9,65,74,43,26,6,26,51,246
19-20,Jarred,Vanderbilt,PF,20,TOT,11,0,46,5,8,0.625,0,1,0,5,7,0.714,0.625,2,2,1,3,6,9,2,3,1,7,6,12
19-20,Jarred,Vanderbilt,PF,20,DEN,9,0,41,5,7,0.714,0,0,,5,7,0.714,0.714,0,0,,3,5,8,2,3,1,7,6,10
19-20,Jarred,Vanderbilt,PF,20,MIN,2,0,5,0,1,0,0,1,0,0,0,,0,2,2,1,0,1,1,0,0,0,0,0,2
19-20,Fred,VanVleet,SG,25,TOR,54,54,1928,319,773,0.413,146,374,0.39,173,399,0.434,0.507,168,198,0.848,18,185,203,357,100,17,121,132,952
19-20,Gabe,Vincent,PG,23,MIA,9,0,83,8,37,0.216,6,27,0.222,2,10,0.2,0.297,0,0,,0,5,5,6,5,0,1,6,22
19-20,Noah,Vonleh,C,24,TOT,36,1,377,52,92,0.565,3,15,0.2,49,77,0.636,0.582,25,32,0.781,37,87,124,28,11,6,21,40,132
19-20,Noah,Vonleh,C,24,MIN,29,1,347,47,86,0.547,2,14,0.143,45,72,0.625,0.558,23,28,0.821,34,82,116,26,11,6,19,36,119
